67	30	66.8	162	64
72	30	87	182	135
74	23	62	181	121
70	26	62	166	101
69	32	78	172	205
71	34	82	183	140
64	46	72	160	170
75	27	87	185	210
72	45	95	185	210
68	28	82	174	208
64	23	58	157	116
79	26	58	176	196
78	27	67.2	184	230
76	40	78	172	190
70	37	63	163	150
45	5	19	109	88
70	17	55	162	85
66	13	40	160	96
73	28	76	180	178
72	25	73	182	207
67	26	70	168	182
78	26	106	187	210
69	27	84	169	162
73	24	70	178	335
80	24	82	182	187
67	27	53	157	173
77	23	72	183	179
78	24	86	188	201
70	25	49	155	173
80	24	94	194	197
76	25	95	175	338
73	26	78	173	180
72	26	92	169	183
